Nama Produk,Produk ID,Harga tokped,Lokasi Gudang,Stok Tersedia,Stok Utama,Stok Diskon,Stok Campaign (Lainnya),Stok Campaign (Kejar Diskon),Stok Campaign (Kejar Diskon Spesial),Stok Campaign (Rilisan Spesial)
Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,3869684911,80100,Surabaya Rungkut,0,0,0,0,0,0,0
Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,3869684911,80100,Jakarta Cakung,157,0,157,0,0,0,0
Triple Pack: Tropicana Slim White Coffee - Kopi Bebas Gula,3869684911,80100,Surabaya Osowilangun,24,0,24,0,0,0,0
W'Dank Temulawak Madu (10 Sch) - Tinggi Vitamin C dan Vitamin D,4827034038,19900,Bandung Nasution,0,0,0,0,0,0,0
W'Dank Temulawak Madu (10 Sch) - Tinggi Vitamin C dan Vitamin D,4827034038,19900,Jakarta Cakung,0,0,0,0,0,0,0
W'Dank Temulawak Madu (10 Sch) - Tinggi Vitamin C dan Vitamin D,4827034038,19900,Surabaya Osowilangun,0,0,0,0,0,0,0
W'Dank Temulawak Madu (10 Sch) - Tinggi Vitamin C dan Vitamin D,4827034038,19900,Medan Amplas,0,0,0,0,0,0,0
FREE Klepon Cookies - Tropicana Slim Susu Low Fat Macchiato 500gr (x2),5841682298,318800,Surabaya Osowilangun,0,0,0,0,0,0,0
Tropicana Slim Chocolate Spread 300gr + Strawberry Jam 375gr,992993410,199600,Surabaya Rungkut,0,0,0,0,0,0,0
Tropicana Slim Chocolate Spread 300gr + Strawberry Jam 375gr,992993410,199600,Jakarta Cakung,26,0,26,0,0,0,0
Tropicana Slim Chocolate Spread 300gr + Strawberry Jam 375gr,992993410,199600,Surabaya Osowilangun,4,0,4,0,0,0,0
Tropicana Slim Chocolate Spread 300gr + Strawberry Jam 375gr,992993410,199600,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Chocolate Spread 300gr + Strawberry Jam 375gr,992993410,199600,Bandung Nasution,5,0,5,0,0,0,0
Twin Pack: Tropicana Slim Sambal Terasi 200gr,1614547198,76600,Jakarta Cakung,0,0,0,0,0,0,0
Twin Pack: Tropicana Slim Sambal Terasi 200gr,1614547198,76600,Surabaya Osowilangun,0,0,0,0,0,0,0
Twin Pack: Tropicana Slim Sambal Terasi 200gr,1614547198,76600,Surabaya Rungkut,0,0,0,0,0,0,0
Buy 12 Get 12 FREE - HiLo Kacang Hijau 200ml (24 Pcs) - Ready to Drink,4190875135,189600,Jakarta Cakung,0,0,0,0,0,0,0
Spesial Promo - HiLo Es Ketan Hitam 500gr - Near Expired,9575622675,59400,Jakarta Cakung,0,0,0,0,0,0,0
Spesial Promo - HiLo Es Ketan Hitam 500gr - Near Expired,9575622675,59400,Bandung Nasution,0,0,0,0,0,0,0
4 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,10701152882,40000,Jakarta Cakung,29,0,29,0,0,0,0
4 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,10701152882,40000,Surabaya Osowilangun,6,0,6,0,0,0,0
4 Packs - Tropicana Slim Oat Drink Japanese Cantaloupe Melon 190 ml,10701152882,40000,Bandung Nasution,9,0,9,0,0,0,0
FREE 7 Fruits Fiber Daily - Twin Pack - Tropicana Slim Collagen Drink,11295693264,675000,Jakarta Cakung,0,0,0,0,0,0,0
NutriSari Jeruk Peras 160 sachet - Minuman Buah Vitamin C,13626411262,248000,Jakarta Cakung,0,0,0,0,0,0,0
NutriSari Florida Orange (40 Sch),652277609,62000,Surabaya Rungkut,0,0,0,0,0,0,0
NutriSari Florida Orange (40 Sch),652277609,62000,Jakarta Cakung,48,0,48,0,0,0,0
NutriSari Florida Orange (40 Sch),652277609,62000,Surabaya Osowilangun,78,0,78,0,0,0,0
NutriSari Florida Orange (40 Sch),652277609,62000,Medan Amplas,8,0,8,0,0,0,0
NutriSari Florida Orange (40 Sch),652277609,62000,Bandung Nasution,14,0,14,0,0,0,0
4 Packs - L-Men UHT Plant Protein 2GO Ogura (Kacang Merah) 190 ml,8327407473,59600,Surabaya Osowilangun,7,0,7,0,0,0,0
4 Packs - L-Men UHT Plant Protein 2GO Ogura (Kacang Merah) 190 ml,8327407473,59600,Medan Amplas,0,0,0,0,0,0,0
4 Packs - L-Men UHT Plant Protein 2GO Ogura (Kacang Merah) 190 ml,8327407473,59600,Bandung Nasution,6,0,6,0,0,0,0
4 Packs - L-Men UHT Plant Protein 2GO Ogura (Kacang Merah) 190 ml,8327407473,59600,Jakarta Cakung,13,0,13,0,0,0,0
FREE Gift - Lokalate Kopi Berondong 185ml - Ready to Drink,12850952890,100000,Jakarta Cakung,0,0,0,0,0,0,0
Tropicana Slim Sirup Orange - Sirup Bebas Gula,522027314,39500,Jakarta Cakung,57,0,47,10,0,0,0
Tropicana Slim Sirup Orange - Sirup Bebas Gula,522027314,39500,Surabaya Osowilangun,2,0,2,0,0,0,0
Tropicana Slim Sirup Orange - Sirup Bebas Gula,522027314,39500,Medan Amplas,0,0,0,0,0,0,0
Tropicana Slim Sirup Orange - Sirup Bebas Gula,522027314,39500,Bandung Nasution,19,0,19,0,0,0,0
Tropicana Slim Sirup Orange - Sirup Bebas Gula,522027314,39500,Surabaya Rungkut,0,0,0,0,0,0,0
Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,1247420946,185700,Surabaya Rungkut,0,0,0,0,0,0,0
Triple Pack: HiLo School Vanilla 10 Sachet - Susu Tinggi Kalsium,1247420946,185700,Jakarta Cakung,50,0,50,0,0,0,0
